INFO:     Started server process [1]
2025-12-07T18:40:22.341984296Z INFO:     Waiting for application startup.
2025-12-07T18:40:22.342131314Z INFO:     Application startup complete.
2025-12-07T18:40:22.342441943Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2025-12-07T18:40:33.018911192Z INFO:     172.19.0.1:34354 - "GET /docs HTTP/1.1" 200 OK
2025-12-07T18:40:33.249707925Z INFO:     172.19.0.1:34354 - "GET /openapi.json HTTP/1.1" 200 OK
2025-12-07T18:40:34.982386380Z INFO:     172.19.0.1:34354 - "GET /docs HTTP/1.1" 200 OK
2025-12-07T18:40:35.236848081Z INFO:     172.19.0.1:34354 - "GET /openapi.json HTTP/1.1" 200 OK
2025-12-07T18:41:20.983101730Z INFO:     172.19.0.1:34362 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-07T18:41:20.983663399Z INFO:     [Replicator] Sending ID=1 to secondary-1:50051...
2025-12-07T18:41:20.986208033Z INFO:     [Replicator] Sending ID=1 to secondary-2:50051...
2025-12-07T18:41:26.421250288Z INFO:     [Replicator] Sending ID=2 to secondary-1:50051...
2025-12-07T18:41:26.421555137Z INFO:     [Replicator] Sending ID=2 to secondary-2:50051...
2025-12-07T18:41:26.424900370Z INFO:     172.19.0.1:60770 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-07T18:41:30.832579668Z INFO:     [Replicator] Sending ID=3 to secondary-1:50051...
2025-12-07T18:41:30.832977323Z INFO:     [Replicator] Sending ID=3 to secondary-2:50051...
2025-12-07T18:41:34.296027352Z INFO:     172.19.0.1:60782 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-07T18:41:34.296508008Z INFO:     [Replicator] Sending ID=4 to secondary-1:50051...
2025-12-07T18:41:34.296893587Z INFO:     [Replicator] Sending ID=4 to secondary-2:50051...
2025-12-07T18:41:43.675683066Z INFO:     [Message Service] Send stored messages: ['Message #1', 'Message #2', 'Message #3', 'Message #4']
2025-12-07T18:41:43.675844590Z INFO:     172.19.0.1:56458 - "GET /api/messages HTTP/1.1" 200 OK
2025-12-07T18:41:45.837661426Z INFO:     172.19.0.1:60770 - "POST /api/messages HTTP/1.1" 200 OK
