INFO:     Started server process [1]
2025-12-10T00:43:31.109885899Z INFO:     Waiting for application startup.
2025-12-10T00:43:31.110072695Z INFO:     [Replicator] Starting heartbeat monitor...
2025-12-10T00:43:31.110247011Z INFO:     Application startup complete.
2025-12-10T00:43:31.112458590Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2025-12-10T00:43:37.037227123Z INFO:     172.19.0.1:58342 - "GET /docs HTTP/1.1" 200 OK
2025-12-10T00:43:37.388554314Z INFO:     172.19.0.1:58342 - "GET /openapi.json HTTP/1.1" 200 OK
2025-12-10T00:43:42.617007518Z INFO:     172.19.0.1:58352 - "GET /docs HTTP/1.1" 200 OK
2025-12-10T00:43:42.961934331Z INFO:     172.19.0.1:58352 - "GET /openapi.json HTTP/1.1" 200 OK
2025-12-10T00:44:11.192408711Z WARNING:  [Heartbeat] Node secondary-2:50051 is SUSPECTED...
2025-12-10T00:44:16.201188756Z ERROR:    [Heartbeat] Node secondary-2:50051 marked UNHEALTHY
2025-12-10T00:44:20.694933647Z INFO:     [Message Service] Assigned ID=1 to 'Message #1'
2025-12-10T00:44:20.695226153Z INFO:     172.19.0.1:57718 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-10T00:44:20.695775278Z INFO:     [Replicator] Sending ID=1 to secondary-1:50051 (Attempt 0)...
2025-12-10T00:44:20.697171031Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:20.701534924Z INFO:     [Replicator] Success: Replicated ID=1 to secondary-1:50051
2025-12-10T00:44:24.168401225Z INFO:     [Message Service] Assigned ID=2 to 'Message #2'
2025-12-10T00:44:24.168733364Z INFO:     [Replicator] Sending ID=2 to secondary-1:50051 (Attempt 0)...
2025-12-10T00:44:24.170387699Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:24.174930592Z INFO:     [Replicator] Success: Replicated ID=2 to secondary-1:50051
2025-12-10T00:44:24.184299347Z INFO:     172.19.0.1:57718 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-10T00:44:25.697907046Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:29.171246167Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:29.944330111Z INFO:     [Message Service] Assigned ID=3 to 'Message #3'
2025-12-10T00:44:29.944546960Z INFO:     [Replicator] Sending ID=3 to secondary-1:50051 (Attempt 0)...
2025-12-10T00:44:29.946415959Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:29.949752859Z INFO:     [Replicator] Success: Replicated ID=3 to secondary-1:50051
2025-12-10T00:44:30.698830294Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:34.171969595Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:34.804774293Z INFO:     [Message Service] Assigned ID=4 to 'Message #4'
2025-12-10T00:44:34.805010248Z INFO:     172.19.0.1:53746 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-10T00:44:34.805541629Z INFO:     [Replicator] Sending ID=4 to secondary-1:50051 (Attempt 0)...
2025-12-10T00:44:34.806976569Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:34.809830498Z INFO:     [Replicator] Success: Replicated ID=4 to secondary-1:50051
2025-12-10T00:44:34.947107138Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:35.699965105Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:39.172998340Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:39.807720137Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:39.948234566Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:40.700515238Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:44.174249804Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:44.808338028Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:44.950271666Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:45.701396445Z INFO:     [Replicator] Node secondary-2:50051 is UNHEALTHY. Waiting...
2025-12-10T00:44:46.242317149Z INFO:     [Heartbeat] Node secondary-2:50051 recovered -> HEALTHY
2025-12-10T00:44:49.175673075Z INFO:     [Replicator] Sending ID=2 to secondary-2:50051 (Attempt 0)...
2025-12-10T00:44:49.809701844Z INFO:     [Replicator] Sending ID=4 to secondary-2:50051 (Attempt 0)...
2025-12-10T00:44:49.951360724Z INFO:     [Replicator] Sending ID=3 to secondary-2:50051 (Attempt 0)...
2025-12-10T00:44:50.703102579Z INFO:     [Replicator] Sending ID=1 to secondary-2:50051 (Attempt 0)...
2025-12-10T00:44:59.182528462Z INFO:     [Replicator] Success: Replicated ID=2 to secondary-2:50051
2025-12-10T00:44:59.815329234Z INFO:     [Replicator] Success: Replicated ID=4 to secondary-2:50051
2025-12-10T00:44:59.956404688Z INFO:     [Replicator] Success: Replicated ID=3 to secondary-2:50051
2025-12-10T00:44:59.956933302Z INFO:     172.19.0.1:53742 - "POST /api/messages HTTP/1.1" 200 OK
2025-12-10T00:45:00.709174533Z INFO:     [Replicator] Success: Replicated ID=1 to secondary-2:50051
